,fechas,pred
91672,2012-02-08 10:20:00,0.6981
91824,2012-02-08 23:00:00,0.104
91970,2012-02-09 11:10:00,0.7173
92121,2012-02-09 23:45:00,0.1859
92268,2012-02-10 12:00:00,0.7131
92419,2012-02-11 00:35:00,0.2724
92566,2012-02-11 12:50:00,0.6833
92716,2012-02-12 01:20:00,0.3565
92864,2012-02-12 13:40:00,0.6279
93013,2012-02-13 02:05:00,0.4325
93162,2012-02-13 14:30:00,0.5502
93311,2012-02-14 02:55:00,0.4969
93461,2012-02-14 15:25:00,0.4567
93609,2012-02-15 03:45:00,0.548
93760,2012-02-15 16:20:00,0.3567
93908,2012-02-16 04:40:00,0.5873
94060,2012-02-16 17:20:00,0.262
94208,2012-02-17 05:40:00,0.6181
94361,2012-02-17 18:25:00,0.1853
94508,2012-02-18 06:40:00,0.6439
94663,2012-02-18 19:35:00,0.1365
94808,2012-02-19 07:40:00,0.6668
94965,2012-02-19 20:45:00,0.1181
95108,2012-02-20 08:40:00,0.6852
95266,2012-02-20 21:50:00,0.1233
95407,2012-02-21 09:35:00,0.6941
95565,2012-02-21 22:45:00,0.1418
95706,2012-02-22 10:30:00,0.6875
95862,2012-02-22 23:30:00,0.1662
96004,2012-02-23 11:20:00,0.6602
96158,2012-02-24 00:10:00,0.1936
96302,2012-02-24 12:10:00,0.6104
96453,2012-02-25 00:45:00,0.224
96598,2012-02-25 12:50:00,0.5394
96748,2012-02-26 01:20:00,0.2582
96895,2012-02-26 13:35:00,0.4515
97042,2012-02-27 01:50:00,0.2964
97191,2012-02-27 14:15:00,0.3529
97337,2012-02-28 02:25:00,0.3377
97487,2012-02-28 14:55:00,0.2515
97633,2012-02-29 03:05:00,0.3797
97784,2012-02-29 15:40:00,0.1552
97929,2012-03-01 03:45:00,0.42
98081,2012-03-01 16:25:00,0.0718
98226,2012-03-02 04:30:00,0.4569
98379,2012-03-02 17:15:00,0.0088
98524,2012-03-03 05:20:00,0.4904
98678,2012-03-03 18:10:00,-0.0266
98823,2012-03-04 06:15:00,0.5226
98977,2012-03-04 19:05:00,-0.0291
99123,2012-03-05 07:15:00,0.5554
99277,2012-03-05 20:05:00,0.0024
