,fechas,pred
80428,2011-12-31 09:20:00,-0.1993
80589,2011-12-31 22:45:00,-0.4955
80729,2012-01-01 10:25:00,-0.1905
80886,2012-01-01 23:30:00,-0.4103
81030,2012-01-02 11:30:00,-0.1944
81182,2012-01-03 00:10:00,-0.3259
81331,2012-01-03 12:35:00,-0.2146
81478,2012-01-04 00:50:00,-0.2498
81632,2012-01-04 13:40:00,-0.2513
81773,2012-01-05 01:25:00,-0.1889
81933,2012-01-05 14:45:00,-0.3003
82066,2012-01-06 01:50:00,-0.1496
82232,2012-01-06 15:40:00,-0.3543
82355,2012-01-07 01:55:00,-0.1372
82530,2012-01-07 16:30:00,-0.4066
82641,2012-01-08 01:45:00,-0.1535
82827,2012-01-08 17:15:00,-0.4522
82937,2012-01-09 02:25:00,-0.184
83123,2012-01-09 17:55:00,-0.488
83236,2012-01-10 03:20:00,-0.2187
83419,2012-01-10 18:35:00,-0.5132
83536,2012-01-11 04:20:00,-0.2549
83715,2012-01-11 19:15:00,-0.5272
83836,2012-01-12 05:20:00,-0.2891
84010,2012-01-12 19:50:00,-0.5301
84137,2012-01-13 06:25:00,-0.3179
84306,2012-01-13 20:30:00,-0.5225
84437,2012-01-14 07:25:00,-0.3392
84602,2012-01-14 21:10:00,-0.5049
84738,2012-01-15 08:30:00,-0.3537
84898,2012-01-15 21:50:00,-0.4787
85040,2012-01-16 09:40:00,-0.3656
85195,2012-01-16 22:35:00,-0.4458
85343,2012-01-17 10:55:00,-0.3824
85492,2012-01-17 23:20:00,-0.4092
85646,2012-01-18 12:10:00,-0.4118
85790,2012-01-19 00:10:00,-0.3726
85949,2012-01-19 13:25:00,-0.4574
86089,2012-01-20 01:05:00,-0.34
86251,2012-01-20 14:35:00,-0.5154
86388,2012-01-21 02:00:00,-0.3149
86552,2012-01-21 15:40:00,-0.5764
86687,2012-01-22 02:55:00,-0.299
86851,2012-01-22 16:35:00,-0.6295
86986,2012-01-23 03:50:00,-0.2914
87150,2012-01-23 17:30:00,-0.6651
87285,2012-01-24 04:45:00,-0.2897
87448,2012-01-24 18:20:00,-0.6763
87584,2012-01-25 05:40:00,-0.2901
87746,2012-01-25 19:10:00,-0.6605
87882,2012-01-26 06:30:00,-0.2897
88043,2012-01-26 19:55:00,-0.6181
88180,2012-01-27 07:20:00,-0.2862
88340,2012-01-27 20:40:00,-0.5531
88478,2012-01-28 08:10:00,-0.279
88637,2012-01-28 21:25:00,-0.4719
88777,2012-01-29 09:05:00,-0.2689
88933,2012-01-29 22:05:00,-0.3826
89076,2012-01-30 10:00:00,-0.259
89228,2012-01-30 22:40:00,-0.2947
89376,2012-01-31 11:00:00,-0.254
89522,2012-01-31 23:10:00,-0.2173
89677,2012-02-01 12:05:00,-0.2599
89815,2012-02-01 23:35:00,-0.1596
89979,2012-02-02 13:15:00,-0.2806
90100,2012-02-02 23:20:00,-0.1303
90279,2012-02-03 14:15:00,-0.3151
90380,2012-02-03 22:40:00,-0.1404
90578,2012-02-04 15:10:00,-0.3575
90677,2012-02-04 23:25:00,-0.1581
90876,2012-02-05 16:00:00,-0.4006
90980,2012-02-06 00:40:00,-0.1771
91173,2012-02-06 16:45:00,-0.4392
91287,2012-02-07 02:15:00,-0.2091
91469,2012-02-07 17:25:00,-0.47
91591,2012-02-08 03:35:00,-0.2568
91765,2012-02-08 18:05:00,-0.4912
91892,2012-02-09 04:40:00,-0.3112
92060,2012-02-09 18:40:00,-0.5021
92192,2012-02-10 05:40:00,-0.3639
